type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62
JapS-AQ4_bon_000010,0.30431306,0.3188551,0.3301945,0.3336681,0.32766902,0.32122612,0.3227927,0.3245225,0.32392374,0.31287372,0.31633717,0.31825283,0.31667447,0.30389118,0.3085924,0.3105054,0.30827364,0.29356202,0.29902005,0.30238828,0.3014553,0.39082694,0.37388536,0.35376328,0.33568355,0.32855693,0.3350096,0.31768373,0.3364176,0.35058278,0.33498448,0.31894916,0.34212527,0.35522568,0.33666238,0.32367417,0.34585077,0.35749868,0.3401302,0.32677636,0.34258023,0.3535174,-1.3915208e-07,-0.0012790072,-0.0021444813,-0.0043208627,-0.006027488,0.0036049024,-0.002321302,-0.0058927024,-0.0069445577,0.0017456365,-0.0039950316,-0.005991816,-0.0057008797,-0.0011634907,-0.007077088,-0.006292372,-0.0038878517,-0.0041619428,-0.006164095,-0.0033091223,-0.0003341094
JapS-AQ4_bon_000011,0.30433372,0.31653163,0.3270459,0.3311731,0.33395043,0.32447362,0.3280832,0.32987562,0.32869172,0.31698036,0.3216256,0.32288066,0.32065362,0.30816936,0.313657,0.3151755,0.31240094,0.29750088,0.30379474,0.30651927,0.3043797,0.39118576,0.38071787,0.35976556,0.33998606,0.3273031,0.33562386,0.32156795,0.335439,0.3448676,0.33239973,0.31514245,0.33683607,0.3466237,0.3324463,0.32052204,0.34260893,0.35119456,0.33558655,0.32410285,0.34033263,0.34872147,-5.4442353e-08,-0.0020329815,-0.002826816,-0.0043091136,-0.005128103,0.0024946157,-0.0031012045,-0.0060167126,-0.006802569,0.00091179175,-0.00455553,-0.005845799,-0.00493844,-0.0016998694,-0.0086723,-0.007102184,-0.0038114814,-0.0042996625,-0.008466292,-0.005659653,-0.0021435968
JapS-AQ4_bon_000012,0.30925626,0.32259676,0.3330191,0.33557248,0.33509183,0.3292158,0.3304026,0.33319393,0.33332717,0.32139596,0.3236126,0.32591537,0.32488278,0.31233796,0.31581643,0.31839624,0.31702888,0.30180094,0.30653104,0.3093273,0.3078747,0.3926891,0.38232312,0.36046374,0.339628,0.3249637,0.33431128,0.31838048,0.3312983,0.3437516,0.33145595,0.31249052,0.33153364,0.34453905,0.33115023,0.3169729,0.3365536,0.34778067,0.33369502,0.31950128,0.33425602,0.3444161,-3.5321158e-08,-0.0019718008,-0.0022664245,-0.0032885787,-0.0037986953,0.0037191096,-0.0013243484,-0.004782144,-0.005935598,0.002531529,-0.002287258,-0.0043975813,-0.004173623,0.0003418416,-0.0055705854,-0.0048453794,-0.002332402,-0.0019008438,-0.0055392007,-0.0032785116,-0.00020538208
JapS-AQ4_bon_000013,0.3099514,0.32363966,0.33359978,0.3372954,0.3387347,0.3301655,0.3333268,0.33619702,0.33528066,0.32287273,0.32647762,0.32884818,0.3268496,0.31405124,0.3189211,0.32132217,0.3189529,0.30340144,0.30896518,0.3122908,0.31062138,0.39100772,0.37717542,0.35433653,0.33433202,0.32167453,0.3311834,0.3143869,0.32971215,0.34184116,0.32842854,0.30927372,0.3299627,0.34242228,0.32787865,0.31271926,0.33358052,0.34485868,0.32962704,0.31392768,0.3290863,0.3400955,-4.4139085e-08,-0.0004809133,-0.00027360412,-0.001191641,-0.0015245968,0.0051234867,0.00048691963,-0.0025824863,-0.0034546761,0.003171819,-0.001083402,-0.0029339564,-0.0026853597,0.00030283784,-0.0049970997,-0.0039233477,-0.0012999469,-0.0025217324,-0.0055341874,-0.0027858163,0.0005408919
JapS-AQ4_bon_000014,0.31523857,0.32968345,0.33970296,0.34255695,0.34218788,0.33451217,0.33601364,0.33910713,0.3394819,0.32635513,0.3284051,0.3314317,0.33096823,0.31704393,0.32009092,0.3233432,0.32254916,0.30639464,0.31045574,0.3140553,0.31351438,0.3889172,0.37405983,0.3505087,0.3300736,0.3160757,0.32726777,0.30923513,0.32267737,0.3375464,0.32500654,0.30521846,0.32390198,0.33948606,0.32482868,0.30781424,0.327302,0.3421024,0.32692227,0.30891788,0.32334635,0.33707005,-2.7325983e-08,-0.0013375873,-0.0014714884,-0.0027270913,-0.0036445104,0.004142002,-0.001166648,-0.005093534,-0.006314166,0.0026790856,-0.0022249143,-0.004799463,-0.0048922044,0.00025020563,-0.0050864983,-0.0045866864,-0.0022552675,-0.0022950075,-0.00548988,-0.0032446613,-0.00014575283
JapS-AQ4_bon_000015,0.3156037,0.3300991,0.34109673,0.34446707,0.3413541,0.3337609,0.33599645,0.33926198,0.33915907,0.32582298,0.3287327,0.33194605,0.33097294,0.31650242,0.32049885,0.3237895,0.32259768,0.30553448,0.31029922,0.31401083,0.3133307,0.39063105,0.37637705,0.35314345,0.33198172,0.31713063,0.32868934,0.30998033,0.32295683,0.33758184,0.32586402,0.3051747,0.32404393,0.33955035,0.32543167,0.3074954,0.32744178,0.34226546,0.32767037,0.3097186,0.3241466,0.3378277,-3.2531542e-08,-0.00156645,-0.0014444861,-0.0022749861,-0.0027760658,0.004296435,-0.0005168459,-0.0041403887,-0.0052434388,0.0031068348,-0.0014374171,-0.0039655813,-0.004050912,0.0009614917,-0.004293999,-0.0039195246,-0.0016829405,-0.0012808978,-0.00456146,-0.002462774,0.0004986849
JapS-AQ4_bon_000016,0.31359443,0.3294313,0.34206405,0.34689707,0.3425061,0.3344894,0.3378364,0.34028527,0.339735,0.32582018,0.3294471,0.33186525,0.3303724,0.31605172,0.32043096,0.3232191,0.321802,0.30489188,0.30990243,0.31350276,0.31288922,0.3902897,0.3766168,0.353887,0.33134273,0.31530365,0.32857433,0.30927917,0.3213881,0.33623642,0.32520333,0.30450267,0.32273546,0.33906415,0.324435,0.3063541,0.32522285,0.34090054,0.32628834,0.30824834,0.32172945,0.3356766,-3.3583092e-08,-0.00216141,-0.0025203216,-0.0037552996,-0.0047713877,0.003265207,-0.002026352,-0.006264159,-0.0077972943,0.002271311,-0.0024820543,-0.0053227474,-0.0056881066,0.00029121636,-0.0048527624,-0.004601548,-0.0025264418,-0.0018810055,-0.0050973925,-0.003119701,-0.0002638164
JapS-AQ4_bon_000017,0.31398168,0.3291868,0.34092003,0.3456411,0.34228525,0.33395934,0.3376291,0.34029862,0.33952495,0.3254576,0.32935923,0.33187285,0.33023003,0.31578743,0.32045716,0.32312882,0.3214596,0.30471784,0.3099613,0.31340623,0.31243232,0.39051262,0.3749229,0.3523346,0.3314542,0.31579533,0.3281993,0.3088763,0.32132334,0.33612671,0.32521787,0.30416298,0.32242817,0.33884373,0.32467484,0.30684143,0.3257041,0.3411528,0.32661948,0.3090113,0.32208595,0.33550003,-2.5366344e-08,-0.0013824658,-0.0015490274,-0.0028009426,-0.0038462942,0.00381386,-0.0013665162,-0.0055384487,-0.00701496,0.0023431394,-0.0023557825,-0.0052184314,-0.0055996575,-4.4284185e-05,-0.004920663,-0.004624707,-0.0025756748,-0.002585327,-0.0053855046,-0.0031928304,-0.0002793251
JapS-AQ4_bon_000018,0.3125499,0.3280315,0.34035173,0.345909,0.34195143,0.3331997,0.33631846,0.33842236,0.33754104,0.32436508,0.32796213,0.3302638,0.32888913,0.3144245,0.31891367,0.3216016,0.32029897,0.30335692,0.30826163,0.31191114,0.31144968,0.3879008,0.37211972,0.34929347,0.32784352,0.31194824,0.32542953,0.3066244,0.31934258,0.33444926,0.32296303,0.30211535,0.32063836,0.33781752,0.3229845,0.3051536,0.32407746,0.34033018,0.32533962,0.3075315,0.3209058,0.335166,-2.799603e-08,-0.0016067545,-0.0019738986,-0.003412125,-0.0047005643,0.0037028017,-0.0018995529,-0.006460634,-0.008118799,0.0022721307,-0.0028151413,-0.0058867484,-0.0063238093,-0.000121273944,-0.0052853595,-0.0050490918,-0.0029335306,-0.0027107636,-0.0057489257,-0.0036691325,-0.0007463125
JapS-AQ4_bon_000019,0.30963108,0.32608345,0.3384613,0.34166202,0.33649877,0.32430604,0.3238335,0.32742712,0.33072516,0.31407267,0.31401742,0.31863797,0.32169843,0.3035128,0.30379286,0.3093282,0.31259426,0.29222128,0.29378587,0.29875898,0.30201995,0.38204348,0.36583945,0.34198216,0.32110864,0.30576757,0.31848577,0.29851916,0.29969072,0.30821535,0.31754908,0.2938797,0.30033675,0.3135619,0.3194102,0.296193,0.30410576,0.31812298,0.32416564,0.30575326,0.31112215,0.32164264,6.8935016e-08,-0.004027467,-0.004664893,-0.005639194,-0.006616122,0.0020530084,-0.002713052,-0.007670398,-0.010255057,0.002058295,-0.0028098652,-0.007494986,-0.0097646825,0.0011036838,-0.003753203,-0.006188359,-0.006650541,-0.0002473552,-0.0038274308,-0.0044665537,-0.004031839
